Data,Fechamento,Abertura,Mínimo,Máximo
Oct-2004,1.708170988,1.523835989,1.523835989,1.710628788
Nov-2004,1.622147988,1.724392467,1.582823188,1.767158187
Dec-2004,1.548413989,1.622147988,1.482053389,1.670320868
Jan-2005,1.449610429,1.553329589,1.42552399,1.719476867
Feb-2005,1.41421811,1.474188429,1.39603039,1.499257989
Mar-2005,1.047022792,1.42404931,0.9860693528,1.42404931
Apr-2005,0.8621927654,1.076024832,0.8621927654,1.081923552
May-2005,0.7709017667,0.8616855932,0.6344724409,0.8723362097
Jun-2005,0.8246620215,0.7709017667,0.7658300446,0.9631200362
Jul-2005,0.814011405,0.8464704267,0.7501077059,0.8621927654
Aug-2005,0.8419058768,0.8190831271,0.7709017667,0.8419058768
Sep-2005,0.8216189882,0.8515421489,0.8064038218,0.9732634805
Oct-2005,0.8982019927,0.8317624325,0.7353997117,0.9078382647
Nov-2005,1.140244884,0.9070129759,0.8707324568,1.215397388
Dec-2005,1.164086368,1.140244884,0.9966776872,1.183781507
Jan-2006,1.160976609,1.164604661,1.094635089,1.300915754
Feb-2006,1.036586258,1.160976609,0.9749093758,1.183781507
Mar-2006,0.891464182,1.026738689,0.8707324568,1.114330228
Apr-2006,0.9173788384,0.9023483377,0.8505190248,0.9432934949
May-2006,0.8603665942,0.9173788384,0.80335435,1.069238725
Jun-2006,0.9007934583,0.8603665942,0.8370434034,0.9847569452
Jul-2006,0.9458849605,0.8987202858,0.8987202858,0.9847569452
Aug-2006,0.9111511033,0.9458849605,0.9005563231,0.999787446
Sep-2006,0.9058537132,0.9005563231,0.8502311168,0.9270432737
Oct-2006,0.9535302244,0.9137997984,0.8714206773,1.022396296
Nov-2006,1.177995469,0.9800171751,0.9800171751,1.180697293
Dec-2006,1.240137432,1.175293644,1.175293644,1.304981219
Jan-2007,1.369825006,1.234733783,1.199610065,1.37793048
Feb-2007,1.386576318,1.372526831,1.342266397,1.534636299
Mar-2007,1.427103685,1.37793048,1.264453852,1.464388863
Apr-2007,1.380259234,1.410352373,1.318490341,1.429265145
May-2007,1.311384023,1.377504226,1.288792954,1.406707315
Jun-2007,1.370892205,1.311384023,1.286588947,1.443624428
Jul-2007,1.377504226,1.370892205,1.305874006,1.515254648
Aug-2007,1.338465644,1.377504226,1.157215088,1.425992374
Sep-2007,1.246446131,1.316157884,1.226926841,1.416542807
Oct-2007,1.316157884,1.246446131,1.137695798,1.394235046
Nov-2007,1.278360284,1.299427063,1.099389844,1.330100234
Dec-2007,1.222680591,1.30620013,1.107912246,1.30620013
Jan-2008,1.078936079,1.223816912,1.022688227,1.232339313
Feb-2008,1.156205857,1.07950424,1.045414632,1.221544271
Mar-2008,1.022688227,1.156205857,1.011325024,1.156205857
Apr-2008,1.038868819,1.008484224,0.9772354168,1.053937034
May-2008,1.037701551,1.038868819,0.93673284,1.050541503
Jun-2008,1.053459674,1.037701551,0.9980144277,1.079723211
Jul-2008,0.992178086,1.038868819,0.9361492058,1.049957869
Aug-2008,0.9127392021,0.9629963776,0.8871239357,1.030114307
Sep-2008,0.8292205823,0.9181082562,0.7516675782,0.954498512
Oct-2008,0.6741145741,0.8047615579,0.59656157,0.8650142765
Nov-2008,0.6679810607,0.6741145741,0.5962803413,0.7665816174
Dec-2008,0.7782898597,0.6679810607,0.6017957813,0.8113824994
Jan-2009,0.7163943669,0.7905463929,0.7047506603,0.8113824994
Feb-2009,0.7261995935,0.7194585002,0.7004608737,0.74152026
Mar-2009,0.710878927,0.7225226335,0.6863658605,0.7494870066
Apr-2009,0.9447222019,0.7231354602,0.7231354602,0.9574030368
May-2009,0.998749819,0.9574030368,0.8971690709,1.047076423
Jun-2009,1.159838499,1.014858687,1.004549012,1.333814274
Jul-2009,1.337036048,1.159838499,1.108290122,1.346701369
Aug-2009,1.642392984,1.32092718,1.314483633,1.652125507
Sep-2009,1.633913592,1.61108446,1.498243321,1.647611071
Oct-2009,1.543901585,1.608475416,1.508679496,1.665222116
Nov-2009,1.774774634,1.516506627,1.444105665,1.780672297
Dec-2009,1.964294506,1.757007146,1.719498004,1.999829482
Jan-2010,1.729368831,1.974165332,1.678040532,1.974165332
Feb-2010,1.826102932,1.729368831,1.678040532,1.912966207
Mar-2010,1.796490452,1.835973759,1.737265492,2.013648639
Apr-2010,1.602933438,1.796490452,1.600932273,1.830051263
May-2010,1.495820558,1.608936934,1.44528608,1.64095558
Jun-2010,1.566568828,1.503906074,1.487735041,1.627210202
Jul-2010,1.627210202,1.576675723,1.479649525,1.669659163
Aug-2010,1.53817452,1.639338476,1.465499871,1.667637784
Sep-2010,1.745431853,1.51175937,1.51175937,1.767783134
Oct-2010,1.804357958,1.729176376,1.710888964,1.826709239
Nov-2010,1.934558412,1.808421827,1.790134415,1.987232075
Dec-2010,1.918094085,1.95513882,1.841946573,1.959254902
Jan-2011,1.889281513,1.918094085,1.852236777,2.138304457
Feb-2011,1.934558412,1.889281513,1.755508857,1.95513882
Mar-2011,1.975719229,1.934558412,1.831656369,2.02511221
Apr-2011,1.969067848,2.016880046,1.874803962,2.045692618
May-2011,1.874947438,1.964878342,1.862235444,1.964878342
Jun-2011,1.91755988,1.898384281,1.732195758,1.960172322
Jul-2011,1.853641217,1.898384281,1.793983799,1.930343612
Aug-2011,1.593989958,1.872816816,1.488299149,1.891992415
Sep-2011,1.671640348,1.598303868,1.509868701,1.714779454
Oct-2011,1.693209901,1.660855572,1.548693897,1.811842442
Nov-2011,1.771463717,1.68458208,1.654384706,1.818313308
Dec-2011,1.700693631,1.798002499,1.680789544,1.822329716
Jan-2012,1.879830411,1.722809283,1.656462327,1.879830411
Feb-2012,2.012524323,1.877618846,1.857714759,2.012524323
Mar-2012,2.189449538,2.012524323,1.972716149,2.233680842
Apr-2012,2.246835222,2.167333886,2.036978531,2.269645732
May-2012,2.395103536,2.262802579,2.211222895,2.558035749
Jun-2012,2.4439832,2.388120727,2.30665462,2.518466498
Jul-2012,2.693036726,2.42070717,2.371827506,2.737261184
Aug-2012,2.97988675,2.679071108,2.607695362,3.038777793
Sep-2012,3.239007337,3.003443167,2.949263408,3.271986321
Oct-2012,3.615910009,3.239007337,3.135359103,3.674801052
Nov-2012,3.637722443,3.721913886,3.205517796,3.721913886
Dec-2012,3.959474791,3.601705389,3.546479239,3.964277065
Jan-2013,4.206791894,3.973881612,3.832214534,4.22600099
