Não Consolidado,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019
LPA Lucro por Acao $,0.6483538145,,,,0.1489317857,0.1061021027,0.0650607879,0.0719622222,0.0937722222,0.0990111111,0.1315666667,0.1409566667,0.1493788889,0.1511611111,0.1391222222,0.1394344444,0.1396566667,0.1381055556,0.1441133333,0.1385522222,0.2704555556,0.3208244444,0.3660877778,0.3984733333,0.3068455556,0.2863947835,0.2640247276,0.3067200219,0.3470257751,0.3654750820,0.3642347256,0.3399119890,0.3385718720,0.3590992729,0.3841945996,0.4240090450,0.4755287311,0.4980236322,0.5054380598,0.5083982071,0.4806109247,0.4743767223,0.4814448636,0.4859486454,0.5443201803,0.5891699127,0.6049558715,0.6130500075,0.6114307353,0.6185690913,0.6254426093,0.6447930786,0.7033410142,0.7346136907,0.7334479642,0.7287837571,0.7326636215,0.7151892320,0.6861952415,0.6484331560,0.6497308111,0.5617521686,0.5347964852
VPA Valor Patr por Acao$,2.2110438314,2.2541395342,2.3128718722,0.8265888889,0.8218766667,0.8636088889,0.8737355556,0.9523144444,0.9472966667,0.9931000000,1.0390600000,1.0819055556,1.0887600000,1.1411611111,1.1756600000,1.2332711111,1.2427400000,1.2874666667,1.2829111111,1.2839266667,1.4001566667,1.4775355556,1.5059611111,1.5436344444,1.5786577778,1.6411678638,1.6574521149,1.7615866365,1.8586514587,1.9212268334,1.8566074754,1.9283885342,1.9958355502,1.9886705241,1.9958433094,2.0803693358,2.1640640241,2.1331648488,2.1398743017,2.2275572145,2.2883848092,2.2654524063,2.2988501154,2.4083005621,2.5721233531,2.6296630135,2.6501061571,2.7626715006,2.9008764198,2.9400727144,2.9551166090,3.0736565576,3.2396452132,3.2858781825,3.2866197558,3.3880335116,3.5666562470,3.5826904319,3.5525856563,3.6432499681,3.8489561291,3.7973995744,3.8028908398
Vendas por Acao $,1.8318705898,,,,2.5286260469,1.8991520890,1.5399286338,1.2681166667,1.1737700000,1.1511000000,1.1397011111,1.1368977778,1.2098500000,1.2419500000,1.2462311111,1.2848466667,1.3179833333,1.3224255556,1.3418122222,1.3528811111,1.4186577778,1.4910711111,1.5911744444,1.6379377778,1.6763955556,1.7553151249,1.7700081552,1.8475613705,1.8485042335,1.7627316662,1.6717478053,1.6045080695,1.6215571517,1.6982885519,1.7831482220,1.8889310100,1.9935942627,2.1051088499,2.1988782478,2.2849210410,2.3588303035,2.3646058978,2.3595695375,2.3457538157,2.4015433800,2.4474328993,2.4250586905,2.4597087987,2.4017155194,2.3330359349,2.3570753462,2.2788762263,2.2324037050,2.2737750371,2.3092949664,2.3742015415,2.4604888749,2.5021059302,2.5079200011,2.5130638787,2.5586941513,2.4240684032,2.3741062685
EBITDA por Acao $,1.0846986033,,,,0.4178431896,,,,0.1702677778,0.1679777778,0.1999522222,0.2111744444,0.2297077778,0.2359988889,0.2244544444,0.2234455556,0.2269455556,0.2154777778,0.2203044444,0.2041244444,0.2849066667,0.3351544445,0.3676744444,0.3715900000,0.2900133333,0.2858503427,0.2686019587,0.3177966207,0.3575078634,0.3483450829,0.3246242352,0.2691584641,0.2386439213,0.2598175490,0.2922774231,0.3492307351,0.4234991576,0.4621364281,0.4862951140,0.4922125895,0.4682536567,0.4523306401,0.4390865379,0.4340261226,0.4797926064,0.5235084438,0.5213713223,0.5429108284,0.4913703606,0.4610176164,0.4792508677,0.4598425885,0.4938447322,0.5258205440,0.5335227163,0.5445484010,0.5823771724,0.5959367111,0.6011626861,0.5856924005,0.5766939351,0.4811042447,0.4236028692
Divida Total Liquida $,-68965000.0000000000,-131742000.0000000000,-186723000.0000000000,-111830000.0000000000,-156042000.0000000000,-287898000.0000000000,-265759000.0000000000,-285149000.0000000000,-307976000.0000000000,-429948000.0000000000,-442764000.0000000000,-395001000.0000000000,-352009000.0000000000,-526309000.0000000000,-574705000.0000000000,-505995000.0000000000,-492747000.0000000000,-625127000.0000000000,-656826000.0000000000,-551563000.0000000000,-547226000.0000000000,-717409000.0000000000,-746380000.0000000000,-725691000.0000000000,-655284000.0000000000,-744834000.0000000000,-780687000.0000000000,-808620000.0000000000,-853859000.0000000000,-964578000.0000000000,-981459000.0000000000,-907393000.0000000000,-795224000.0000000000,-960196000.0000000000,-936176000.0000000000,-829675000.0000000000,-410144000.0000000000,-695382000.0000000000,-676769000.0000000000,-489976000.0000000000,-369560000.0000000000,-576975000.0000000000,-416426000.0000000000,-575366000.0000000000,-520314000.0000000000,-775398000.0000000000,-923721000.0000000000,-498579000.0000000000,-425574000.0000000000,-699584000.0000000000,-851468000.0000000000,-1143181000.0000000000,-1178696000.0000000000,-1384309000.0000000000,-1354234000.0000000000,-1413533000.0000000000,-1432090000.0000000000,-1435095000.0000000000,-1366382000.0000000000,-1379964000.0000000000,-1399068000.0000000000,-1664494000.0000000000,-1788544000.0000000000
Divida Total Bruta $,132215000.0000000000,134186000.0000000000,138671000.0000000000,143357000.0000000000,148643000.0000000000,152073000.0000000000,154284000.0000000000,165287000.0000000000,176130000.0000000000,179115000.0000000000,180243000.0000000000,274020000.0000000000,278752000.0000000000,278484000.0000000000,280607000.0000000000,233706000.0000000000,182188000.0000000000,173063000.0000000000,141951000.0000000000,215936000.0000000000,221311000.0000000000,205794000.0000000000,238056000.0000000000,193125000.0000000000,130128000.0000000000,104287000.0000000000,52286000.0000000000,41000000.0000000000,170600000.0000000000,174773000.0000000000,192115000.0000000000,202268000.0000000000,109966000.0000000000,111743000.0000000000,69179000.0000000000,25219000.0000000000,63013000.0000000000,36600000.0000000000,54533000.0000000000,55473000.0000000000,47845000.0000000000,129994000.0000000000,64344000.0000000000,95877000.0000000000,122683000.0000000000,93246000.0000000000,146427000.0000000000,151929000.0000000000,177411000.0000000000,245752000.0000000000,122306000.0000000000,98085000.0000000000,117558000.0000000000,189700000.0000000000,120470000.0000000000,106596000.0000000000,123627000.0000000000,203524000.0000000000,143329000.0000000000,98487000.0000000000,152927000.0000000000,237399000.0000000000,122432000.0000000000
Divida Bruta / Atv Tt %,14.4748956930,14.5240391430,14.7498175830,14.3359293740,14.1323569670,14.1777011630,15.1071021510,14.6251749760,15.2238194470,15.0110121820,15.0858104170,20.0396082470,19.6742462260,19.3453733070,19.7087864160,15.9052596260,12.5037661320,11.7636463000,9.8563599285,13.5754332530,13.6448579690,12.1049740070,13.8161502980,10.9936744740,7.4313631990,5.8651763625,3.0862510544,2.2543438732,8.5582507858,8.6431047980,9.7081515829,9.6561844924,5.3870599065,5.2598084510,3.4528746670,1.2042842128,2.8672222167,1.6360122960,2.5264210279,2.4407113451,2.0936797521,5.2977212227,2.8039435795,3.8873477225,4.7030983030,3.4076830927,5.4326811237,5.3392594009,5.9226313281,7.7300557535,4.1399848761,3.2036803865,3.6352638966,5.4693791173,3.7018747828,3.1587462922,3.4605720901,5.3821454431,4.0464665092,2.7303083438,3.9710262343,5.9727000668,3.2973706841
Divida Bruta / Pat Liq %,19.0861899220,19.0003794810,19.1368272590,19.2702270370,20.0953373650,19.5655698050,19.6199714640,19.2848300570,20.6587869340,20.0399422680,19.2741516370,28.1417047080,28.4474488820,27.1150728550,26.5200445330,21.0556568620,16.2890959580,14.9357049150,12.2941747060,18.6871178170,17.5623997630,15.4757697120,17.5639772310,13.9011755080,9.1588353538,7.0435824492,3.4967200277,2.5798608511,10.1741351530,10.0835192070,11.4698466880,11.6265020420,6.1073119908,6.2283630948,3.8420611251,1.3437047441,3.2275760475,1.9018361553,2.8247990556,2.7615392695,2.3217455528,6.3688768996,3.1066468647,4.4225666819,5.2986256216,3.9313383904,6.1258760919,6.0970779342,6.7804985995,9.2652132999,4.5876425550,3.5372331793,4.0232060392,6.3994678018,4.0630992878,3.4875560574,3.8422008392,6.2968417405,4.4815058815,3.0027860996,4.4134241374,6.9296136272,3.5685970918
Divida Liq / Pat Liq %,-9.9555957189,-18.6543156030,-25.7680827020,-15.0323283100,-21.0956226200,-37.0406871420,-33.7960125230,-33.2697066680,-36.1233779870,-48.1039170270,-47.3466402320,-40.5663874950,-35.9235378880,-51.2449795290,-54.3151175600,-45.5874350420,-44.0556083060,-53.9497894230,-56.8867679410,-47.7323038530,-43.4257753700,-53.9493691450,-55.0685608670,-52.2353810020,-46.1210367180,-50.3063631130,-52.2098433280,-50.8811483270,-50.9219042690,-55.6512778850,-58.5960714220,-52.1575660380,-44.1652971880,-53.5196775650,-51.9933132290,-44.2062823090,-21.0079023440,-36.1339516210,-35.0565058230,-24.3918296310,-17.9334159580,-28.2680950590,-20.1058144860,-26.5401973520,-22.4721362510,-32.6915033910,-38.6445149420,-20.0085238460,-16.2650788900,-26.3753498700,-31.9381782660,-41.2264644260,-40.3386997530,-46.6992138810,-45.6743355260,-46.2472848550,-44.5078939050,-44.4004937870,-42.7230286220,-42.0739459740,-40.3766534430,-48.5861368610,-52.1317377560
Estr Cap (D/D+Pat Liq) %,16.0272067940,15.9666545290,16.0628981810,16.1567790350,16.7328206120,16.3638828780,16.4019195320,16.1670432430,17.1216597310,16.6943951240,16.1595378150,21.9613940460,22.1471497720,21.3311232460,20.9611406880,17.3933688090,14.0074147310,12.9948347440,10.9481856370,15.7448577070,14.9387897810,13.4017463150,14.9399311290,12.2045935400,8.3903747453,6.5801071751,3.3785805258,2.5149779203,9.2345949796,9.1598808612,10.2896406780,10.4155391680,5.7557880566,5.8631827822,3.6999083834,1.3258887145,3.1266606958,1.8663413997,2.7471962810,2.6873276609,2.2690636680,5.9875379766,3.0130422811,4.2352595061,5.0319988417,3.7826303897,5.7722737540,5.7466973199,6.3499409428,8.4795636416,4.3864097545,3.4163875842,3.8676043475,6.0145674917,3.9044573106,3.3700245616,3.7000379500,5.9238276861,4.2892814797,2.9152474543,4.2268742491,6.4805374228,3.4456362179
