Não Consolidado,31/12/1986,31/12/1987,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019
LPA Lucro por Acao $,0.0000000012,0.0000000004,0.0000000151,,,,0.0000000770,0.0000001051,0.0000008391,0.0000019236,0.0000040137,0.0000082717,0.0000146188,0.0000177542,-0.0000107258,-0.0000340286,-0.0001479983,-0.0002418559,0.0001646520,0.0003157823,0.0010873230,0.0035687662,0.0091888674,0.0253233816,0.0673155497,0.1321703735,0.1379947049,0.1432820685,0.1457091339,0.0626198083,0.0693288753,0.0669012177,0.0953111055,0.0947854520,0.0764543434,0.0756200541,0.0705826686,0.1483617008,0.1764134550,0.1890541633,0.2048455825,0.1188298858,0.1648947616,-0.0302810525,-0.0113729891,0.0135786939,0.2038713435,0.6427565336,0.8412592620,1.0584316087,1.1692445640,1.2024859943,1.3309778576,1.3069691070,1.1847265547,1.0093185137,0.9695688673,1.1186277972,1.1283166713,1.6397062508,1.6710961286,1.9078670576,1.9996712988,1.8290113630,1.9539720622,1.9401124238,2.0238891630,2.1447512568,2.1809204287,2.2254470433,2.6731953202,2.8791211522,3.1528056939,3.2819284753,2.9707953940,2.6768735293,2.6484017526,2.5184589238,2.5106565067,2.7858883374,2.9584480463,3.6058808928,4.1565116372,4.0892382286,4.0349604904,3.5275468323,3.3409122510,3.5153490806,3.5549466405,3.7103485882,3.5289748058,3.4777463445,3.3923489504,2.9611438524,2.5375220677,2.4011395763,1.4592299726,1.3956546581,1.6018176094,1.4917061194,2.0699015838,1.9069751022,1.7944399083,1.6206916986,1.5266937468,0.8581824198,-1.6629234535,-1.6654532559,-2.0034501905,-1.8807931042,-2.6705514726,-3.1746721087,-3.1870144783,-4.1605284615,-1.1364179086,-0.6998353405,-0.7039750172,0.5780981819,-0.0341906629,0.1583809633,0.9062825497,1.3952243617,1.9762357723,1.7516297689,2.4258013195
VPA Valor Patr por Acao$,0.0000000052,0.0000000235,0.0000002338,0.0000003761,0.0000005782,0.0000013889,0.0000041086,0.0000160776,0.0000192638,0.0000272666,0.0000422045,0.0000718393,0.0000947554,0.0001440941,0.0005259038,0.0010235737,0.0018423460,0.0033471438,0.0065474588,0.0135500404,0.0293448259,0.0692504817,0.1742359557,0.4876727074,1.4161436193,1.7003453140,1.8407641781,1.9308959604,2.0663425777,2.1770527307,2.2770058606,2.2766315842,2.3028105897,2.3232653511,2.3027917149,2.3112927417,2.3321754087,2.4255260378,2.4296354505,2.4506570314,2.4897748290,2.4849425344,2.5128820756,2.3338495116,2.3896459593,1.8742859398,2.0323055546,2.2970947472,2.5512861798,2.8067428395,2.9070517188,3.2055550159,3.4722371200,3.7017265382,3.4193976820,3.5427303693,3.8856198394,4.1412385462,4.2319531555,5.1487546420,5.5219078135,5.7633889569,5.8729806901,6.3351382943,6.8360570952,7.0641729926,7.3246020658,7.9080158417,8.1936942678,8.8409845350,9.1997798982,10.0444854620,10.8538483160,11.1299137360,11.3268148120,11.8210343740,12.4560359400,12.8671054360,13.2221598030,13.9916113100,14.9428507340,16.2367591760,16.4178129980,17.1403233800,17.6508932680,18.1910981850,18.6776420670,19.4856424770,20.2397555020,23.1758510480,23.5590928500,24.1636681740,24.7690488950,25.1998832920,25.3344043850,25.8150017590,25.8524956540,26.2828450960,26.3283164540,25.7377724880,25.9518846910,26.1829289390,26.6886343720,27.1885285420,27.6630827540,26.1762488810,23.6764974530,23.2862945960,23.5516938680,22.1885920310,19.5278514760,20.1361539660,20.8053250350,19.8961293790,19.1828017590,19.7646563140,19.8271347680,20.0670060330,20.2372694020,20.8488683010,21.6289673720,22.2595781190,21.2527390520,21.6693226360,23.2761669340
Vendas por Acao $,0.0000000070,0.0000000331,0.0000003365,,,,0.0000048727,0.0000194846,0.0000240344,0.0000351737,0.0000657004,0.0001127503,0.0001423416,0.0002111901,0.0003913169,0.0008016442,0.0014924722,0.0030173995,0.0060370988,0.0123329075,0.0270351707,0.0624104736,0.1585493799,0.4497701567,1.3234428407,1.5126590352,1.5930995534,1.6364017989,1.6837683882,1.7011223584,1.7530034811,1.7564368465,1.8124621008,1.8872584429,1.9417639341,1.9749191351,1.9746338263,1.9466050901,1.9184206368,1.8916668705,1.8977255670,1.8651383359,1.8217936183,1.8346563357,2.0280611410,2.4351222635,3.0937896800,3.6949594997,4.2390638876,4.6901368885,5.1362087760,5.4112579273,5.6360212742,5.8193858507,5.6501158038,5.3916697895,5.4624637696,5.7620440814,6.4819304827,7.8004155931,8.3854287691,8.7321758794,8.7716655406,8.4523781316,8.7087121841,9.2823871430,9.7550694778,10.2530432290,10.8797429950,11.3599891200,12.0632533930,12.6953564300,12.9617070950,13.4720518890,13.6459627850,13.6175434010,13.8886505020,13.9551558470,14.4479032320,15.1249251770,16.3514029280,17.8046365220,18.4303744350,18.0501080680,17.1497958300,15.9367673580,15.2761218380,16.0146688950,16.6103963540,17.0731173970,15.7617895030,14.5367719810,13.8335839770,13.3383400470,14.0918596550,14.9361761510,15.4402652700,16.0211013890,16.6618696760,17.1075127700,17.5069057860,17.9003776080,18.1995972710,18.7152289580,19.3522169540,19.9620045910,20.6652659740,20.3054974060,20.1596121340,19.7779186160,19.2435940500,18.9594129050,18.2959913750,17.7010278280,17.1004677300,17.0120013060,17.0123846090,17.0474185400,17.4758750760,17.6116411390,18.3645256690,20.4070728060,21.5492416060,22.1907090490,22.6375414230
EBITDA por Acao $,0.0000000018,0.0000000030,0.0000000246,,,,0.0000003717,,,,0.0000130938,,,,0.0000495143,,,,0.0007422048,,,,0.0388138583,,,,0.1276089127,,,,0.2331160083,,,,0.2700140602,,,,0.4127275913,,,,0.3424537099,,,,0.7038721077,,,,1.9297125681,,,,1.7243581186,,,,1.7468209766,,,,3.1720941992,,,,3.4344461843,,,,4.2118091211,,,,4.7615654750,4.3363957945,4.2222762582,4.1034171576,4.1284660630,4.5251675504,4.8621155094,6.0227007380,7.0372175942,6.9820262555,6.7483201650,5.9023496035,5.3744664395,5.5947536812,5.7948093908,5.9644624747,5.3361977038,4.9869400516,4.6528563761,4.1357372429,3.7479074126,3.6867190816,2.9415701502,2.8751713462,2.8652721527,2.8263530591,3.5438489503,3.4651080835,3.7077111521,3.5548372620,3.4106828343,2.6516031243,-0.3060294314,0.2672556864,0.3765572563,1.2918091057,0.8695621011,0.5669057337,0.7349459458,-0.3495727039,3.6156242744,4.0065937383,4.3684321442,5.5918599238,4.5335592472,4.7923657003,5.0620579697,5.8956661955,6.8258673014,7.2469283257,9.6593548734
Divida Total Liquida $,12.2268974540,75.9049432730,507.3036363600,1065.3840000000,1399.2643636000,4001.3254545000,11822.2065450000,49995.3992730000,65015.7989090000,83656.0345450000,151994.1661800000,255927.7069100000,315531.3018200000,546040.1210900000,1395323.2727000000,2803639.8807000000,5033937.7916000000,8486931.8473000000,16255989.4550000000,30189433.7770000000,73521523.9150000000,159157548.7300000000,370667272.7300000000,1019501710.5000000000,2895285000.0000000000,2246347000.0000000000,2676869000.0000000000,3087739000.0000000000,4099912000.0000000000,4055869000.0000000000,4654230000.0000000000,5079387000.0000000000,5107413000.0000000000,6123494000.0000000000,6931484000.0000000000,7195388000.0000000000,7369953000.0000000000,7776209000.0000000000,8500776000.0000000000,8339500000.0000000000,8460479000.0000000000,9203856000.0000000000,8331300000.0000000000,11479028000.0000000000,12045267000.0000000000,11579478000.0000000000,10032516000.0000000000,9167390000.0000000000,7993001000.0000000000,4915389000.0000000000,2394941000.0000000000,170592000.0000000000,815229000.0000000000,-743437999.9800000000,-7458732000.0000000000,-2677563000.0000000000,-1129117000.0000000000,1666027000.0000000000,4074580000.0000000000,-44544000.0000000000,-2132990000.0000000000,-5771846000.0000000000,-8968671000.0000000000,-5706863000.0000000000,-3793403000.0000000000,-2386564000.0000000000,-1680930000.0000000000,-159175000.0000000000,-2587650000.0000000000,-7044339000.0000000000,-9416962000.0000000000,-10380557000.0000000000,-8778394000.0000000000,-10495392000.0000000000,-13725224000.0000000000,-7038111000.0000000000,-5541059000.0000000000,-1732421000.0000000000,-2287443000.0000000000,-8307483000.0000000000,-8593481000.0000000000,1059286999.9000000000,2694406000.0000000000,-792772000.0000000000,8463105000.0000000000,2937464000.0000000000,12328837000.0000000000,17895190000.0000000000,22379826000.0000000000,-2433445000.0000000000,2335400000.0000000000,-4757467000.1000000000,2495389999.9000000000,9377825000.0000000000,12529564000.0000000000,-3684016000.0000000000,16853464000.0000000000,17842574000.0000000000,43720281000.0000000000,48012744000.0000000000,23528721000.0000000000,31950958000.0000000000,72908471000.0000000000,137786090000.0000000000,147113000000.0000000000,165932000000.0000000000,185329000000.0000000000,219320000000.0000000000,218757000000.0000000000,274451000000.0000000000,277999000000.0000000000,262502000000.0000000000,243794000000.0000000000,237239000000.0000000000,265791000000.0000000000,254936000000.0000000000,250986000000.0000000000,251950000000.0000000000,268650000000.0000000000,257215000000.0000000000,286797000000.0000000000,311805000000.0000000000,319267000000.0000000000,526146000000.0000000000,524355000000.0000000000
Divida Total Bruta $,15.6215912720,88.0884770910,637.2080000000,1103.1418182000,1449.6160000000,4136.3247273000,13156.8727270000,52798.6207270000,67845.0781820000,87829.3636360000,185098.0680000000,257656.5410900000,352174.5156400000,606319.6069100000,1492350.9091000000,2927619.2345000000,5315086.7029000000,9633073.1615000000,17479341.8180000000,33542972.8180000000,84926443.8410000000,201977539.2700000000,520877454.5400000000,1331175502.9000000000,3830213000.0000000000,3531671000.0000000000,3810800000.0000000000,4063188000.0000000000,4452847000.0000000000,4660964000.0000000000,5157995000.0000000000,5391405000.0000000000,6135890000.0000000000,6907244000.0000000000,8119268000.0000000000,7984194000.0000000000,8288528000.0000000000,9263331000.0000000000,9605595000.0000000000,9509634000.0000000000,9496243000.0000000000,9888615000.0000000000,9185341000.0000000000,11590562000.0000000000,12812978000.0000000000,15070243000.0000000000,14214635000.0000000000,14774383000.0000000000,14199890000.0000000000,13336450000.0000000000,12568686000.0000000000,11413219000.0000000000,9817319000.0000000000,10071475000.0000000000,7647590000.0000000000,6866891000.0000000000,7859843000.0000000000,11406443000.0000000000,11995955000.0000000000,11729884000.0000000000,10605524000.0000000000,10250120000.0000000000,11254708000.0000000000,11417056000.0000000000,11802739000.0000000000,10750717000.0000000000,9899358000.0000000000,9860431000.0000000000,8907406000.0000000000,8102157000.0000000000,8064593000.0000000000,7517537000.0000000000,7486048000.0000000000,7056087000.0000000000,6373668000.0000000000,6100863000.0000000000,5845489000.0000000000,5457937000.0000000000,5560506000.0000000000,6780591000.0000000000,8764514000.0000000000,8829227000.0000000000,13962720000.0000000000,14384042000.0000000000,14081616000.0000000000,23876731000.0000000000,29126950000.0000000000,35417328000.0000000000,40221664000.0000000000,37490473000.0000000000,56061121000.0000000000,55959342000.0000000000,54628482000.0000000000,59043111000.0000000000,55011715000.0000000000,54240853000.0000000000,56063329000.0000000000,58793007000.0000000000,84491750000.0000000000,83513366000.0000000000,88209159000.0000000000,85132531000.0000000000,103577900000.0000000000,171608231000.0000000000,171661000000.0000000000,191552000000.0000000000,205895000000.0000000000,236038000000.0000000000,237127000000.0000000000,293404000000.0000000000,305346000000.0000000000,279204000000.0000000000,256007000000.0000000000,252010000000.0000000000,274545000000.0000000000,264987000000.0000000000,255249000000.0000000000,258814000000.0000000000,273486000000.0000000000,268068000000.0000000000,297912000000.0000000000,319844000000.0000000000,329575000000.0000000000,533432000000.0000000000,530909000000.0000000000
Divida Bruta / Atv Tt %,21.0131849970,24.3896604400,18.1922849400,19.8191927560,17.6542904360,21.0802152450,21.9605657520,22.3111720760,23.3091692500,20.8635849550,25.9393909820,23.6772110070,24.3573193930,26.0882323930,21.6215089910,21.8071901410,21.4711920110,21.0518849280,19.4735499630,18.2644882210,21.0691670790,21.2933743370,21.7682582950,20.0837824490,19.7934403230,15.9308250890,16.0260838100,16.3749173990,16.8685647790,16.5290077990,17.3174841830,17.7415735580,19.5442496150,21.4157921240,24.1986773690,23.7854428820,24.5596020580,25.8258073480,26.5590092050,25.7338564910,25.1184040850,25.5298633970,23.6489716620,27.7710504600,28.9839415610,27.4606200190,25.9028184030,25.7195897540,24.2257104410,21.8430363820,19.3309419830,17.4206670440,14.7294880950,14.1102405430,10.6389679930,10.0521455090,10.0230113040,11.6242890340,12.0029916330,10.6803746360,10.0331299240,9.1685198041,9.3928048814,9.5682732800,9.0635537728,7.9596308820,7.1924220087,7.0062186568,6.3970169126,5.5106793563,5.2363017115,4.7517233754,4.6024503741,4.0798787153,3.5485253606,3.3766651128,3.0593264786,2.7671631690,2.6324039032,2.9302641328,3.5160608948,3.2394301266,4.4894637074,4.4805439504,4.3329664561,7.3580779661,9.2371448918,10.5655699890,11.6745370210,8.2181098648,12.0133950400,11.8240197510,11.4752167600,12.0322039390,11.1319037090,10.3688488490,10.8410988660,11.0375096370,14.9555488570,14.3264060890,14.0379441080,13.3244121840,16.3585427600,26.1975651250,26.1510922880,28.8318228960,32.3528256380,35.8850161610,35.3759327830,41.5087826520,43.7053958660,41.3325102480,38.7744870850,39.0191712780,40.2506714680,39.1988544500,37.8179162060,37.4903128710,37.7818762050,36.3518016020,38.4842045430,39.2488523310,39.2483420010,51.1001585410,48.8128895470
Divida Bruta / Pat Liq %,34.6815514040,43.5655110850,31.7401509950,34.1570736280,29.1970967580,34.6807011560,37.2900015410,38.2412046560,41.0114131570,37.5092720550,51.0707625240,41.7645848700,43.2796131750,48.9986970560,33.0440957250,33.3061684950,33.5945154470,33.5134939850,31.0871935290,28.8263846530,33.7008317940,33.9632631060,34.8118345550,31.4156051880,31.1282130680,23.9046106350,23.8262978600,24.2184646430,24.8012752520,24.6402644270,26.0708585190,27.2550990280,30.6660550670,34.2172061440,40.5789478630,39.7570991890,40.9029622260,43.9541418530,45.5010815370,44.6601142920,43.8965421590,45.7991779080,42.0689564520,57.1571031050,61.7099340110,92.5386099920,80.4980337080,74.0233964790,64.0566767040,54.6860074850,49.7594668080,40.9773166380,32.5403430630,31.3131923960,25.7402987730,22.3080009030,23.2804924710,31.6999506930,32.6236520190,25.9838121240,21.8942113240,20.2739021560,21.8454998030,20.5439693220,19.6817381060,17.3485199630,15.4066892020,14.2139470810,12.3924683770,10.4468738400,9.9928954548,8.5316730917,7.8624009260,7.2255471060,6.4132806541,5.8821270473,5.3485936334,4.8344410263,4.7930341140,5.5232973596,6.6848703530,6.1975771473,9.6928910781,9.5644618510,9.0925231690,14.9594131510,17.7734431720,20.7157028010,22.6492267630,12.5823706550,18.2421438750,17.7534351790,16.9076194740,17.9615315660,16.6462782090,16.1074582560,16.6245183350,17.1484929930,24.6016297860,24.8746909390,26.0565817170,24.9258502160,29.7518114070,48.3865963050,47.5711581790,56.0985895690,66.6654794590,77.7059369630,77.1847535970,101.3698914100,119.8699804800,106.2962088700,94.3300355570,97.1005837360,109.7170603000,102.7798464000,98.6908191080,98.8730306690,103.5990681200,98.5678198870,105.5905068000,110.1523944000,118.8835783200,188.7192695100,174.8602689600
Divida Liq / Pat Liq %,27.1449793540,37.5399570610,25.2694473680,32.9879614120,28.1829512190,33.5488099860,33.5072102190,36.2108757600,39.3011528950,35.7269690780,41.9370015580,41.4843511850,38.7764363430,44.1273120130,30.8956797700,31.8957127910,31.8174867790,29.5260644910,28.9114484650,25.9443978100,29.1750884480,26.7629248390,24.7728283510,24.0601356900,23.5300356330,15.2047148180,16.7366112440,18.4043410740,22.8355131040,21.4414195520,23.5246005170,25.6777585220,25.5259152800,30.3346539540,34.6425721940,35.8292589600,36.3698969430,36.8978063570,40.2676254730,39.1648115100,39.1087057380,42.6277126150,38.1574398700,56.6070900570,58.0124801370,71.1036178080,56.8145303160,45.9309430820,36.0569751560,20.1555136220,9.4815788378,0.6124829814,2.7021462107,-2.3114208324,-25.1046395200,-8.6984164771,-3.3443924793,4.6301001770,11.0810419040,-0.0986730071,-4.4033782596,-11.4162410840,-17.4082793230,-10.2689886420,-6.3257151055,-3.8512178486,-2.6160854150,-0.2294529546,-3.6000796187,-9.0829294994,-11.6686256530,-11.7809222400,-9.2197182164,-10.7474510010,-13.8105269290,-6.7857716318,-5.0700416833,-1.5345151762,-1.9717256546,-6.7670648354,-6.5544200587,0.7435546627,1.8704510209,-0.5271423394,5.4646411530,1.8404000780,7.5231318004,10.4669510240,12.6023069050,-0.8167010045,0.7599331238,-1.5093347952,0.7723279691,2.8528323949,3.7913853109,-1.0940118131,4.9975755324,5.2042457229,12.7301206010,14.3007308330,6.9502764609,9.3548821350,20.9422963700,38.8501173540,40.7683503720,48.5954266440,60.0065404340,72.2022136040,71.2053251740,94.8217068190,109.1343417100,99.9375632930,89.8299526520,91.4092511610,106.2186788100,98.8813901170,97.0425503120,96.2508213500,101.7671458600,94.5772035170,101.6509592700,107.3838100300,115.1652989400,186.1416052600,172.7016425200
Estr Cap (D/D+Pat Liq) %,25.7507810400,30.3453877990,24.0929972790,25.4605088680,22.5988799210,25.7503123000,27.1614838100,27.6626674020,29.0837544550,27.2776311700,33.8058547340,29.4605206990,30.2064000700,32.8853191500,24.8369501440,24.9847166650,25.1466277150,25.1012036200,23.7148974600,22.3761496770,25.2061496860,25.3526693200,25.8225360330,23.9055362890,23.7387609720,19.2927531210,19.2417105830,19.4966704130,19.8726136420,19.7691047440,20.6795280250,21.4176871780,23.4690295440,25.4939043410,28.8655936610,28.4472841950,29.0291712680,30.5334332770,31.2719885350,30.8724450490,30.5056268210,31.4125076460,29.6116459940,36.3694048670,38.1608800900,48.0623652550,44.5977344210,42.5364623240,39.0454555040,35.3529116010,33.2262579910,29.0666027810,24.5512742090,23.8461892710,20.4710017590,18.2392000020,18.8841656980,24.0698273050,24.5986681280,20.6247228800,17.9616497670,16.8564433290,17.9288523900,17.0427184680,16.4450637310,14.7837569380,13.3499100520,12.4450187070,11.0260665640,9.4587320378,9.0850371867,7.8609984060,7.2892878876,6.7386432627,6.0267671616,5.5553540633,5.0770432228,4.6115007425,4.5738098477,5.2341970900,6.2659966037,5.8358931661,8.8363894714,8.7295293468,8.3346895872,13.0127779370,15.0912147020,17.1607357780,18.4666690210,11.1761464800,15.4277851170,15.0767874850,14.4623759760,15.2266008480,14.2707323920,13.8728885270,14.2547369730,14.6382531730,19.7442279270,19.9197217240,20.6705444190,19.9525159710,22.9297850130,32.6084683590,32.2360810650,35.9379221320,39.9995726020,43.7272599280,43.5617354370,50.3401430570,54.5185751250,51.5260117740,48.5411507730,49.2644830860,52.3167071600,50.6854345870,49.6705482170,49.7166610960,50.8838616410,49.6393725550,51.3596218260,52.4154838750,54.3136123930,65.3642792290,63.6178774110
